week,year,code,value
1,2026,IT,318750
1,2026,DE,245000
1,2026,FR,187000
1,2026,GB,145000
1,2026,ES,76000
1,2026,NL,54000
1,2026,BE,42000
1,2026,CH,38000
1,2026,AT,28000
1,2026,SE,24000
1,2026,PL,19500
1,2026,PT,17800
1,2026,DK,15200
1,2026,NO,13400
1,2026,FI,11200
1,2026,CZ,9800
1,2026,HU,8400
1,2026,RO,7200
1,2026,SK,5100
1,2026,HR,4300
1,2026,US,98000
1,2026,CA,32000
1,2026,AU,21000
1,2026,JP,18500
1,2026,BR,14000
1,2026,MX,9200
1,2026,AE,7600
1,2026,SA,6800
1,2026,SG,5400
1,2026,ZA,3200
2,2026,IT,318750
2,2026,DE,245000
2,2026,FR,187000
2,2026,GB,145000
2,2026,ES,76000
2,2026,NL,54000
2,2026,BE,42000
2,2026,CH,38000
2,2026,AT,28000
2,2026,SE,24000
2,2026,PL,19500
2,2026,PT,17800
2,2026,DK,15200
2,2026,NO,13400
2,2026,FI,11200
2,2026,CZ,9800
2,2026,HU,8400
2,2026,RO,7200
2,2026,SK,5100
2,2026,HR,4300
2,2026,US,98000
2,2026,CA,32000
2,2026,AU,21000
2,2026,JP,18500
2,2026,BR,14000
2,2026,MX,9200
2,2026,AE,7600
2,2026,SA,6800
2,2026,SG,5400
2,2026,ZA,3200
