week,name,tot,oks,draws,kos
1,Server-AAA,10000,9000,500,500
1,Server-BBB,7000,9000,1000,1000
1,Server-CCC,9000,9000,1000,1000
1,Server-DDD,7500,9000,1000,1000
1,Server-EEE,8500,9000,1000,1000
1,Server-FFF,8000,9000,1000,1000
1,Server-GGG,9500,9000,1000,1000
1,Server-HHH,11000,9000,1000,1000
1,Server-III,12000,9000,1000,1000
1,Server-JJJ,10500,9000,1000,1000
1,Server-KKK,11500,9000,1000,1000
1,Server-LLL,13000,9000,1000,1000
1,Server-MMM,12500,9000,1000,1000
1,Server-NNN,14000,9000,1000,1000
1,Server-OOO,13500,9000,1000,1000
1,Server-PPP,15000,9000,1000,1000
1,Server-QQQ,14500,9000,1000,1000
1,Server-RRR,16000,9000,1000,1000
1,Server-SSS,15500,9000,1000,1000
1,Server-TTT,17000,9000,1000,1000
